details,title,price,rating_number,average_rating,main_category,categories,store,parent_asin,images,last_category,image_url,brand,color,weight,dimensions,Country of Origin,price_log,price_scaled,category_code,main_category_code,parent_asin_code,country_code,store_code,brand_code,color_code
"{'Item Dimensions LxWxH': '5.51 x 0.98 x 5.51 inches', 'Brand': 'Cooler Master', 'Power Connector Type': '3-Pin', 'Voltage': '12 Volts', 'Wattage': '1.68 watts', 'Cooling Method': 'Air', 'Compatible Devices': 'Radiator', 'Noise Level': '16 dB', 'Maximum Rotational Speed': '1000 RPM', 'Item model number': 'R4-L4S-10AB-GP', 'Item Weight': '6 ounces', 'Product Dimensions': '5.51 x 0.98 x 5.51 inches', 'Color': 'Blue', 'Manufacturer': 'Coolermaster', 'Is Discontinued By Manufacturer': 'No', 'Date First Available': 'December 11, 2009'}",Cooler Master CM Essentials 140 - Sleeve Bearing 140mm Blue LED Silent Fan for Computer Cases and Radiators,26.99,382,4.4,All Electronics,"['Electronics', 'Computers & Accessories', 'Computer Components', 'Internal Components', 'Fans & Cooling', 'Case Fans']",Cooler Master,B00BVKROOS,"[{'thumb': 'https://m.media-amazon.com/images/I/41ZX4K+DdiL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41ZX4K+DdiL._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}]",Case Fans,,Cooler Master,Blue,6 ounces,unk,unk,3.331847303527362,-0.14501931811244978,61,2,1936,13,83,72,13
"{'Hard Drive': '2 TB Mechanical Hard Disk', 'Brand': 'Seagate', 'Series': 'Laptop HDD', 'Item model number': 'ST2000LM015', 'Hardware Platform': 'PC', 'Item Weight': '3.2 ounces', 'Product Dimensions': '3.95 x 2.75 x 0.28 inches', 'Item Dimensions  LxWxH': '3.95 x 2.75 x 0.28 inches', 'Flash Memory Size': '2 TB', 'Hard Drive Interface': 'Serial ATA-600', 'Hard Drive Rotational Speed': '5400 RPM', 'Manufacturer': 'SEAGATE', 'Is Discontinued By Manufacturer': 'No', 'Date First Available': 'February 23, 2016', 'Best Sellers Rank': {'Internal Hard Drives': 1218, 'Computer Internal Components': 17250}, 'Digital Storage Capacity': '2000 GB', 'Hard Disk Interface': 'Serial ATA-600', 'Connectivity Technology': 'SATA', 'Hard Disk Form Factor': '2.5 Inches', 'Hard Disk Description': 'Mechanical Hard Disk', 'Compatible Devices': 'Laptop', 'Hard Disk Size': '2 TB', 'Hard Disk Rotational Speed': '5400 RPM', 'Specific Uses For Product': 'Personal, gaming, business'}",(Old Model) Seagate 2TB Laptop HDD SATA 6Gb/s 128MB Cache 2.5-Inch Internal Hard Drive (ST2000LM015),72.5,867,4.5,Computers,"['Electronics', 'Computers & Accessories', 'Computer Components', 'Internal Components']",Seagate,B01C4W2P18,"[{'thumb': 'https://m.media-amazon.com/images/I/51ZbfE4PbRL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51ZbfE4PbRL._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}]",Internal Components,,Seagate,unk,3.2 ounces,unk,unk,4.297285406218791,0.8886732321155545,151,12,3793,13,304,276,69
"{'Product Dimensions': '2.51 x 2.24 x 3.93 inches', 'Item Weight': '3.49 ounces', 'Item model number': 'WYZEC3X2', 'Best Sellers Rank': {'Dome Surveillance Cameras': 2, 'Bullet Surveillance Cameras': 2}, 'Date First Available': 'December 21, 2020', 'Manufacturer': 'Wyze', 'Country of Origin': 'China', 'Recommended Uses For Product': 'Indoor/Outdoor', 'Brand': 'WYZE', 'Model Name': 'Wyze Cam v3', 'Connectivity Technology': 'Wired', 'Special Feature': 'Night Vision,Motion Sensor,Weather Resistant,Starlight Sensor,Two Way Audio'}","WYZE Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Camera, 2-Way Audio, Works with Alexa, Google Assistant, and IFTTT",34.18,69836,4.5,Camera & Photo,"['Electronics', 'Camera & Photo', 'Video Surveillance', 'Surveillance Cameras', 'Bullet Cameras']",WYZE,B0C1VP1GGK,"[{'thumb': 'https://m.media-amazon.com/images/I/31zFjNiXFiL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31zFjNiXFiL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/51FXUyvOI9L._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/510RvQYwHuL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/510RvQYwHuL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/91ErLWBZ0OL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/512Wf9-p94L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/512Wf9-p94L._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/81zOodPiLuL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41ZKsgBuG8L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41ZKsgBuG8L._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/71VaAYDdDRL._AC_SL1500_.jpg'}]",Bullet Cameras,https://m.media-amazon.com/images/I/51FXUyvOI9L._AC_SL1500_.jpg,WYZE,unk,3.49 ounces,unk,China,3.560477739309412,0.09977480961509819,33,9,6747,1,383,348,69
"{'Product Dimensions': '2.78 x 3.96 x 0.39 inches', 'Item Weight': '2.88 ounces', 'Manufacturer': 'SanDisk', 'Item model number': 'SDSSDX-120G-G25', 'Best Sellers Rank': {'Internal Solid State Drives': 3750, 'Computer Internal Components': 47881}, 'Is Discontinued By Manufacturer': 'No', 'Date First Available': 'December 8, 2011', 'Digital Storage Capacity': '1024 GB', 'Hard Disk Interface': 'Solid State', 'Connectivity Technology': 'SATA', 'Brand': 'SanDisk', 'Hard Disk Form Factor': '2.5 Inches', 'Hard Disk Description': 'Solid State Drive', 'Compatible Devices': 'Laptop', 'Hard Disk Size': '120 GB', 'Specific Uses For Product': 'Personal', 'Read Speed': '550 Megabytes Per Second'}",SanDisk SDSSDX-120G-G25 Extreme SSD 120GB SATA 6.0 Gb-s2.5-Inch Solid State Drive (SSD),26.99,1468,4.3,Computers,"['Electronics', 'Computers & Accessories', 'Computer Components', 'Internal Components']",SanDisk,B007Q2TG5U,"[{'thumb': 'https://m.media-amazon.com/images/I/31w8bv2uSyL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31w8bv2uSyL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/81xjGX4aCnL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41wqhaPc3OL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41wqhaPc3OL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/61oVBQZJxxL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41BXEVRQnZL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41BXEVRQnZL._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/711TJWt3IbL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41embT5-aiL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41embT5-aiL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/71k4jDNqY9L._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41C9hf9TVcL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41C9hf9TVcL._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/61PaIAvssjL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51ys+9vJ9tL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51ys+9vJ9tL._AC_.jpg', 'variant': 'AW01', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/41Lrq+17nBL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41Lrq+17nBL._AC_.jpg', 'variant': 'AW02', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/41w0gvSH1-L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41w0gvSH1-L._AC_.jpg', 'variant': 'AW03', 'hi_res': None}]",Internal Components,https://m.media-amazon.com/images/I/81xjGX4aCnL._AC_SL1500_.jpg,SanDisk,unk,2.88 ounces,unk,unk,3.331847303527362,-0.14501931811244978,151,12,1427,13,297,269,69
"{'Product Dimensions': '5.79 x 4 x 0.79 inches', 'Item Weight': '14.1 ounces', 'Item model number': 'ST3160815AS', 'Best Sellers Rank': {'Internal Hard Drives': 1970, 'Computer Internal Components': 29636}, 'Is Discontinued By Manufacturer': 'No', 'Date First Available': 'December 19, 2005', 'Manufacturer': 'SEAGATE', 'Digital Storage Capacity': '160 GB', 'Hard Disk Interface': 'Serial ATA', 'Connectivity Technology': 'SATA', 'Brand': 'Seagate', 'Hard Disk Form Factor': '3.5 Inches', 'Compatible Devices': 'Desktop', 'Hard Disk Size': '160 GB', 'Hard Disk Rotational Speed': '7200 RPM', 'Specific Uses For Product': 'Gaming', 'Read Speed': '55.2 Megabytes Per Second'}",Seagate Barracuda ST3160815AS 160GB 7200 RPM 8MB Cache SATA 3.0Gb/s Hard Drive,32.99,174,4.2,All Electronics,"['Electronics', 'Computers & Accessories', 'Computer Components', 'Internal Components']",Seagate,B000UCELXK,"[{'thumb': 'https://m.media-amazon.com/images/I/41pdb3DrrwL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41pdb3DrrwL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/51Xs5mYJcVL._AC_SL1024_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51Bam+tJdWL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51Bam+tJdWL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/712TJhTud9L._AC_SL1280_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41x+AoDxhaL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41x+AoDxhaL._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/61KI+AJ-LDL._AC_SL1280_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/414vupgm7LL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/414vupgm7LL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/611-qj7iImL._AC_SL1280_.jpg'}]",Internal Components,https://m.media-amazon.com/images/I/51Xs5mYJcVL._AC_SL1024_.jpg,Seagate,unk,14.1 ounces,unk,unk,3.5260663637080247,0.06293062198350559,151,2,278,13,304,276,69
"{'Brand': 'AINOPE', 'Connector Type': 'USB Type A', 'Cable Type': 'USB', 'Compatible Devices': 'Smartphone', 'Special Feature': 'Data Transfer', 'Compatible Phone Models': 'Samsung', 'Recommended Uses For Product': 'Surveillance', 'Color': 'Black', 'Connector Gender': 'Male-to-Female', 'Data Transfer Rate': '5 Gigabits Per Second', 'Unit Count': '1.0 Count', 'Number of Items': '1', 'Item model number': 'S-06BK', 'Item Weight': '7.4 ounces', 'Package Dimensions': '10.71 x 6.97 x 0.98 inches', 'Manufacturer': 'AINOPE', 'Date First Available': 'January 7, 2022', 'Best Sellers Rank': {'USB Cables': 1155}}","AINOPE USB Extension Cable 20FT USB 3.0 Male to Female USB Extension Cord High Data Transfer Compatible with Webcam,Gamepad, USB Keyboard, Flash Drive, Hard Drive, Printer-Black",20.0,28561,4.7,Computers,"['Electronics', 'Computers & Accessories', 'Computer Accessories & Peripherals', 'Cables & Accessories', 'Cables & Interconnects', 'USB Cables']",unk,B0BMDNNH23,"[{'thumb': 'https://m.media-amazon.com/images/I/51cGHIMZAIL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51cGHIMZAIL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71y-cCOxX6L._AC_SL1200_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51eobnzPl+L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51eobnzPl+L._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/71ElMXD79nL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51ddy+y--ZL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51ddy+y--ZL._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/71mkRlflhvL._AC_SL1200_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41keg9RPUqL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41keg9RPUqL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/61KrNNGPNZL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/511ioJzIvAL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/511ioJzIvAL._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/81guh4NPtCL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51oTWihraKL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51oTWihraKL._AC_.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/71tkkyl-MhL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41E6oHKBTbL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41E6oHKBTbL._AC_.jpg', 'variant': 'PT06', 'hi_res': 'https://m.media-amazon.com/images/I/711u5b1yR4L._AC_SL1500_.jpg'}]",USB Cables,https://m.media-amazon.com/images/I/71y-cCOxX6L._AC_SL1200_.jpg,unk,Black,7.4 ounces,10.71 x 6.97 x 0.98 inches,unk,3.044522437723423,-0.4526574488727822,292,12,6515,13,418,372,4
"{'Standing screen display size': '3.5 Inches', 'Hard Drive': '500 GB desktop', 'Brand': 'Western Digital', 'Item model number': 'WD5000AZRX', 'Hardware Platform': 'PC, Mac', 'Item Weight': '3.58 ounces', 'Product Dimensions': '5.8 x 4 x 1 inches', 'Item Dimensions  LxWxH': '5.8 x 4 x 1 inches', 'Color': 'Green', 'Number of Processors': '1', 'Computer Memory Type': 'DDR3 SDRAM', 'Hard Drive Interface': 'Serial ATA-600', 'Manufacturer': 'Western Digital', 'Language': 'English', 'Is Discontinued By Manufacturer': 'No', 'Date First Available': 'January 18, 2012', 'Best Sellers Rank': {'Internal Hard Drives': 3497}, 'Digital Storage Capacity': '500 GB', 'Hard Disk Interface': 'Serial ATA-600', 'Connectivity Technology': 'SATA', 'Hard Disk Form Factor': '3.5 Inches', 'Hard Disk Description': 'Desktop', 'Compatible Devices': 'Mac, PC', 'Hard Disk Size': '500 GB', 'Specific Uses For Product': 'Personal'}","(Old Model) WD Green 500GB Desktop Hard Drive: 3.5-inch, SATA 6 Gb/s, IntelliPower, 64MB Cache WD5000AZRX",87.12,6510,4.5,Computers,"['Electronics', 'Computers & Accessories', 'Data Storage', 'Internal Hard Drives']",Western Digital,B00DI12KRO,"[{'thumb': 'https://m.media-amazon.com/images/I/51xtOwvHSLL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51xtOwvHSLL._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/51MeeI64VvL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51MeeI64VvL._AC_.jpg', 'variant': 'BACK', 'hi_res': 'https://m.media-amazon.com/images/I/81-A5mUUjEL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41Xsaw8Wd4L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41Xsaw8Wd4L._AC_.jpg', 'variant': 'PT01', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/41e5a63tHLL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41e5a63tHLL._AC_.jpg', 'variant': 'PT02', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/514ZHp5skvL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/514ZHp5skvL._AC_.jpg', 'variant': 'PT03', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/51iBBgj4SeL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51iBBgj4SeL._AC_.jpg', 'variant': 'PT04', 'hi_res': None}]",Internal Hard Drives,,Western Digital,Green,3.58 ounces,unk,unk,4.478699521934143,1.0829129450483446,152,12,2096,13,387,354,26
"{'RAM': '32 GB', 'Brand': 'SanDisk', 'Series': 'SanDisk iXpand Flash Drive, 32GB', 'Item model number': 'SDIX30C-032G-GN6NN', 'Hardware Platform': 'PC, Mac', 'Item Weight': '0.192 ounces', 'Product Dimensions': '2.36 x 0.48 x 0.68 inches', 'Item Dimensions  LxWxH': '2.36 x 0.48 x 0.68 inches', 'Color': 'Black', 'Flash Memory Size': '32', 'Batteries': '1 Lithium Ion batteries required.', 'Manufacturer': 'Western Digital Technologies, Inc.', 'Is Discontinued By Manufacturer': 'No', 'Date First Available': 'April 21, 2016', 'Best Sellers Rank': {'USB Flash Drives': 1537}, 'Memory Storage Capacity': '32 GB', 'Hardware Interface': 'USB 3.0', 'Connectivity Technology': 'USB'}","SanDisk 32GB iXpand Flash Drive for iPhone and iPad - SDIX30C-032G-GN6NN, Black",26.99,19346,4.4,Computers,"['Electronics', 'Computers & Accessories', 'Data Storage', 'USB Flash Drives']",SanDisk,B091LDVYZK,"[{'thumb': 'https://m.media-amazon.com/images/I/21wLzpaeL3L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/21wLzpaeL3L._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/51ZmlkVv0eL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/11UqUxV4YzL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/11UqUxV4YzL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/41-RL40I9NL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31NSZXW2SrL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31NSZXW2SrL._AC_.jpg', 'variant': 'PT02', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/41gFqm+1xZL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41gFqm+1xZL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/81kKUeQbxFL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41YcRQgIgxL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41YcRQgIgxL._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/71kTm3b8izL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41m2avnPpnL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41m2avnPpnL._AC_.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/61J+0iZ6fOL._AC_SL1444_.jpg'}]",USB Flash Drives,https://m.media-amazon.com/images/I/51ZmlkVv0eL._AC_SL1500_.jpg,SanDisk,Black,0.192 ounces,unk,unk,3.331847303527362,-0.14501931811244978,294,12,5866,13,297,269,4
"{'Hard Drive': '4 TB Raid', 'Brand': 'Western Digital', 'Series': 'Ultrastar 7K4000', 'Item model number': 'HUS724040ALE641', 'Hardware Platform': 'PC', 'Item Weight': '1.83 pounds', 'Product Dimensions': '5.8 x 4 x 1 inches', 'Item Dimensions  LxWxH': '5.8 x 4 x 1 inches', 'Color': 'Silver', 'Flash Memory Size': '4 TB', 'Hard Drive Interface': 'Serial ATA-600', 'Hard Drive Rotational Speed': '7200 RPM', 'Manufacturer': 'HGST', 'Is Discontinued By Manufacturer': 'No', 'Date First Available': 'January 8, 2018', 'Best Sellers Rank': {'Amazon Renewed': 4163, 'Internal Hard Drives': 371}, 'Digital Storage Capacity': '6 GB', 'Hard Disk Interface': 'Serial ATA-600', 'Connectivity Technology': 'SATA', 'Hard Disk Form Factor': '3.5 Inches', 'Hard Disk Description': 'Raid', 'Compatible Devices': 'Desktop', 'Hard Disk Size': '4 TB', 'Hard Disk Rotational Speed': '7200 RPM'}",HGST Ultrastar 7K4000 HUS724040ALE641 4TB 64MB Cache 7200RPM SATA III 6.0Gb/s 3.5in Enterprise Internal Hard Drive(Renewed),37.99,781,4.5,Computers,"['Electronics', 'Computers & Accessories', 'Data Storage', 'Internal Hard Drives']",Amazon Renewed,B078WK642K,"[{'thumb': 'https://m.media-amazon.com/images/I/51gWnbcV6WL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51gWnbcV6WL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71zffyhJ16L._AC_SL1262_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41mllu3lVVL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41mllu3lVVL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/61j+jhWaoCL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41JkumUd8-L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41JkumUd8-L._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/71iqI+1kXRL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/318Lgn1Ri9L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/318Lgn1Ri9L._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/61meL-sSxNL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31VVzPRp6ML._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31VVzPRp6ML._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/61tM2h6qnbL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51jQRG8cTdL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51jQRG8cTdL._AC_.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/81MRMNjpdAL._AC_SL1342_.jpg'}]",Internal Hard Drives,https://m.media-amazon.com/images/I/71zffyhJ16L._AC_SL1262_.jpg,Western Digital,Silver,1.83 pounds,unk,unk,3.663305202994506,0.20987195916182064,152,12,4690,13,23,354,49
"{'Hard Drive': '512 GB Solid State Drive', 'Brand': 'Crucial', 'Series': 'm4', 'Item model number': 'CT512M4SSD2', 'Item Weight': '2.65 ounces', 'Product Dimensions': '3.96 x 2.75 x 0.37 inches', 'Item Dimensions  LxWxH': '3.96 x 2.75 x 0.37 inches', 'Flash Memory Size': '512', 'Manufacturer': 'CRUCIAL TECHNOLOGY', 'Is Discontinued By Manufacturer': 'No', 'Date First Available': 'April 22, 2011', 'Digital Storage Capacity': '512 GB', 'Connectivity Technology': 'SATA', 'Hard Disk Form Factor': '2.5 Inches', 'Hard Disk Description': 'Solid State Drive', 'Compatible Devices': 'Desktop', 'Hard Disk Size': '512 GB', 'Specific Uses For Product': 'Personal', 'Read Speed': '165 Megabytes Per Second', 'Cache Size': '256'}",Crucial m4 512GB 2.5-Inch (9.5mm) SATA 6Gb/s Solid State Drive CT512M4SSD2,26.99,3904,4.5,Computers,"['Electronics', 'Computers & Accessories', 'Computer Components', 'Internal Components']",Crucial,B008CZ7PR6,"[{'thumb': 'https://m.media-amazon.com/images/I/413yuddv6PL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/413yuddv6PL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/817xW14+FML._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41QDgEFL4aL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41QDgEFL4aL._AC_.jpg', 'variant': 'PT01', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/41iRw3TQ2xL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41iRw3TQ2xL._AC_.jpg', 'variant': 'PT02', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/4172PNUSWSL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/4172PNUSWSL._AC_.jpg', 'variant': 'PT03', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/41QrJxRqdaL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41QrJxRqdaL._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/71zHsHidLUL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/519glby1+XL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/519glby1+XL._AC_.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/71PR7ZSIPzL._AC_SL1300_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51U9mV1mv4L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51U9mV1mv4L._AC_.jpg', 'variant': 'PT06', 'hi_res': 'https://m.media-amazon.com/images/I/71OFtUxehHL._AC_SL1300_.jpg'}]",Internal Components,https://m.media-amazon.com/images/I/817xW14+FML._AC_SL1500_.jpg,Crucial,unk,2.65 ounces,unk,unk,3.331847303527362,-0.14501931811244978,151,12,1544,13,87,76,69
